paper_id	affiliation_string	labels	labels_name	institution1_id	institution2_id	institution3_id	institution4_id	institution5_id	institution6_id	dataset
W2918252437	Institute of Chemistry, University of Graz, NAWI Graz, BioTechMed Graz, Heinrichstrasse 28, 8010 Graz, Austria	[4210117258, 4210108044, 15766117]	['4210117258 - BioTechMed-Graz', '4210108044 - Nawi Graz', '15766117 - University of Graz']	15766117	4210108044	4210117258	No name	No name	No name	cwts_multi_inst_no_relation
W3117409977	Institute for Chemistry and Technology of Materials (ICTM), NAWI Graz, Graz University of Technology, Stremayrgasse 9, 8010, Graz, Austria	[4210108044, 4092182]	['4210108044 - Nawi Graz', '4092182 - Graz University of Technology']	4092182	4210108044	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2124941761	Institute of Medical Biochemistry, Department of Molecular Genetics, University and BioCenter Vienna, Austria.	[4210142901, 129774422]	['4210142901 - Vienna Biocenter', '129774422 - University of Vienna']	129774422	4210142901	No name	No name	No name	No name	cwts_multi_inst_no_relation
W1981573615	Department of Radiotherapy and Radiobiology, University of Vienna at the General Hospital Vienna, 1190, Vienna, Austria	[2802328216, 129774422]	['2802328216 - Vienna General Hospital', '129774422 - University of Vienna']	129774422	2802328216	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3111096887	Unit of Comparative Cognition, Messerli Research Institute, Vetmeduni Vienna, University of Vienna, Medical University of Vienna, Vienna, Austria.	[150540706, 76134821, 129774422]	['150540706 - University of Veterinary Medicine Vienna', '76134821 - Medical University of Vienna', '129774422 - University of Vienna']	76134821	150540706	129774422	No name	No name	No name	cwts_multi_inst_no_relation
W2806828559	Comparative Medicine, The Interuniversity Messerli Research Institute of the University of Veterinary Medicine Vienna, Medical University Vienna and University Vienna, Vienna, Austria.	[150540706, 76134821, 129774422]	['150540706 - University of Veterinary Medicine Vienna', '76134821 - Medical University of Vienna', '129774422 - University of Vienna']	76134821	150540706	129774422	No name	No name	No name	cwts_multi_inst_no_relation
W1417187450	Institute of Molecular Biosciences, BioTechMed-Graz, University of Graz, Austria	[4210117258, 15766117]	['4210117258 - BioTechMed-Graz', '15766117 - University of Graz']	15766117	4210117258	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3028878531	Monash University & RMIT, Melbourne, VIC, Australia	[56590836, 82951845]	['56590836 - Monash University', '82951845 - RMIT University']	82951845	56590836	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2981640539	School of Public Health and Community Medicine, University of New South Wales,Sydney, New South Wales,Australia.	[129604602, 31746571]	['129604602 - University of Sydney', '31746571 - UNSW Sydney']	31746571	129604602	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2585216972	EMBL Australia Node in Single Molecule Science, School of Medical Sciences, University of New South Wales, Sydney, Australia.	[4210098306, 31746571]	['4210098306 - EMBL Australia', '31746571 - UNSW Sydney']	31746571	4210098306	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2906435465	Telethon Kids Institute, School of Physiotherapy and Exercise Science, Curtin University, Centre for Child Health, University of Western Australia, Perth, Australia	[177877127, 205640436, 175234967]	['177877127 - University of Western Australia', '205640436 - Curtin University', '175234967 - Telethon Kids Institute']	177877127	205640436	175234967	No name	No name	No name	cwts_multi_inst_no_relation
W1875457868	Hunter Medical Research Institute, John Hunter Hospital, New Lambton, NSW, Australia	[2800479947, 4210087646]	['2800479947 - John Hunter Hospital', '4210087646 - Hunter Medical Research Institute']	2800479947	4210087646	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2068206119	Hunter Medical Research Institute, The John Hunter Hospital, Newcastle, NSW, Australia	[2800479947, 4210087646]	['2800479947 - John Hunter Hospital', '4210087646 - Hunter Medical Research Institute']	2800479947	4210087646	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2024384692	Murdoch Childrens Research Institute, The Royal Children's Hospital, Melbourne, Victoria, Australia	[4210150290, 1321649718]	["4210150290 - Murdoch Children's Research Institute", "1321649718 - Royal Children's Hospital"]	1321649718	4210150290	No name	No name	No name	No name	cwts_multi_inst_no_relation
W4206690503	Victorian Clinical Genetics Services, Murdoch Children's Research Institute, Royal Children's Hospital, Melbourne, Victoria, Australia.	[4210150290, 4210109019, 1321649718]	["4210150290 - Murdoch Children's Research Institute", '4210109019 - Victorian Clinical Genetics Services', "1321649718 - Royal Children's Hospital"]	1321649718	4210150290	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2948191744	New Vaccines, Murdoch Children's Research Institute, Royal Children's Hospital, Parkville, Australia.	[4210150290, 1321649718]	["4210150290 - Murdoch Children's Research Institute", "1321649718 - Royal Children's Hospital"]	1321649718	4210150290	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2038031971	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road, Parkville, VIC 3052, Melbourne, Australia.	[4210150290, 1321649718]	["4210150290 - Murdoch Children's Research Institute", "1321649718 - Royal Children's Hospital"]	1321649718	4210150290	No name	No name	No name	No name	cwts_multi_inst_no_relation
W1526856069	Early Life Epigenetics Group, Murdoch Childrens Research Institute, Royal Childrens Hospital, Parkville, Vic., Australia	[4210150290, 1321649718]	["4210150290 - Murdoch Children's Research Institute", "1321649718 - Royal Children's Hospital"]	1321649718	4210150290	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3110354990	Austin Health, The University of Adelaide, Heidelberg, VIC, Australia.	[4210163497, 5681781]	['4210163497 - Austin Health', '5681781 - University of Adelaide']	5681781	4210163497	No name	No name	No name	No name	cwts_multi_inst_no_relation
W354739113	Joint Graduate Program in Physiological Sciences, Federal University of São Carlos, SP (UFSCar), São Paulo State University (UNESP), Araraquara, SP, Brazil	[879563668, 177909021]	['879563668 - São Paulo State University', '177909021 - Federal University of São Carlos']	879563668	177909021	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2969602711	Dept. of Earth Sciences, Carleton U., 1125 Colonel By Drive, Ottawa K1S 5B6, Canada	[67031392, 153718931]	['67031392 - Carleton University', '153718931 - University of Ottawa']	67031392	153718931	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2058248754	Ottawa-Carleton Institute for Physics, University of Ottawa, Canada K1N6N5	[67031392, 153718931]	['67031392 - Carleton University', '153718931 - University of Ottawa']	153718931	67031392	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3082888413	Centre de Recherche en Géochimie Et Géodynamique (GÉOTOP-UQAM)-McGill University, 201 ave. du Président-Kennedy 7e étage, local PK-7150, Montréal, QC, H2X 3Y7, Canada.	[5023651, 159129438]	['5023651 - McGill University', '159129438 - University of Quebec at Montreal']	5023651	159129438	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3085637620	Dept. of Mechanical & Industrial Eng., Ryerson University 350 Victoria Street, Toronto, ON, M5B 2K3, Canada	[185261750, 530967]	['185261750 - University of Toronto', '530967 - Ryerson University']	Ryerson University	185261750	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2088433918	Department of Medicine, University Health Network, Mount Sinai Hospital, Toronto, Ontario	[1325899441, 1291836623]	['1325899441 - University Health Network', '1291836623 - Mount Sinai Hospital']	1325899441	Mount Sinai Hospital	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2062812959	Department of Pediatrics, Research Centre, CHU-Sainte-Justine, Université de Montréal, Montreal, Canada	[2802351361, 70931966]	['2802351361 - Centre Hospitalier Universitaire Sainte-Justine', '70931966 - University of Montreal']	University of Montreal	2802351361	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2043250838	Department of Pediatrics, Sainte-Justine Hospital, University of Montreal, Montreal, H3T 1C5 Canada.	[2802351361, 70931966]	['2802351361 - Centre Hospitalier Universitaire Sainte-Justine', '70931966 - University of Montreal']	University of Montreal	2802351361	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2793072626	Division of Medical Genetics, Department of Pediatrics, Faculty of Medicine and Health Sciences, Université de Sherbrooke, CR-CHUS, Hospital Fleurimont, 3,001, 12th Avenue North, Sherbrooke, QC J1H 5N4, Canada.	[4210095033, 135117807]	['4210095033 - Hôpital Fleurimont', '135117807 - Université de Sherbrooke']	135117807	4210095033	No name	No name	No name	No name	cwts_multi_inst_no_relation
W1543631880	Department of Pathology, Faculty of Medicine, University of British Columbia, British Columbia's Children's Hospital, Vancouver, Canada.	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia']	141945490	4210153200	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2889392009	Division of Emergency Medicine, Department of Pediatrics, BC Children's Hospital, University of British Columbia, Vancouver, British Columbia, Canada	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia']	141945490	4210153200	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3004826111	Department of Pediatrics,  University of British Columbia, Vancouver, British Columbia,  Canada.	[141945490, 2801317318]	['141945490 - University of British Columbia', '2801317318 - Hospital for Sick Children']	141945490	2801317318	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2808235019	Department of Pediatrics, British Columbia Children's Hospital, University of British Columbia, Vancouver, Canada	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia']	141945490	4210153200	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2169993130	Department of Pediatrics, University of British Columbia, British Columbia Children's Hospital, 4480 Oak Street, Vancouver, BC, Canada V6H	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia', '2801317318 - Hospital for Sick Children']	141945490	2801317318	No name	No name	No name	No name	cwts_multi_inst_no_relation
W1988763304	Children’s Hospital of Eastern Ontario, Department of Pediatrics, University of Ottawa, Ottawa, Ontario, Canada	[2799330578, 153718931]	["2799330578 - Children's Hospital of Eastern Ontario", '153718931 - University of Ottawa']	153718931	2799330578	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2141943331	Department of Pediatrics, Children's Hospital Eastern Ontario, University of Ottawa, Ottawa, Canada	[2799330578, 153718931]	["2799330578 - Children's Hospital of Eastern Ontario", '153718931 - University of Ottawa']	153718931	2799330578	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2522600308	Department of Surgery, Maisonneuve-Rosemont Hospital, Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal, University of Montreal Affiliated Hospital, Montreal, Quebec, Canada	[4210142730, 70931966, 29045822]	['4210142730 - Centre Hospitalier de l’Université de Montréal', '70931966 - University of Montreal', '29045822 - Hôpital Maisonneuve-Rosemont']	4210142730	29045822	No name	No name	No name	No name	cwts_multi_inst_no_relation
W1986801165	Lawson Research Institute St Joseph’s Health Care, London, ON, Canada	[4210151658, 131944076]	["4210151658 - St Joseph's Health Care", '131944076 - Lawson Health Research Institute']	4210151658	131944076	No name	No name	No name	No name	cwts_multi_inst_no_relation
W4231694266	Cancer Ethic Programme, Centre for Bioethics, Clinical Research Institute of Montreal, Department of Oncology, McGill University, Montreal, Quebec	[4210158752, 5023651]	['4210158752 - Montreal Clinical Research Institute', '5023651 - McGill University', '-1 - None']	5023651	4210158752	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2041841039	ETH Zürich, Department of Biosystems Science and Engineering, CH-4058 Basel, Switzerland	[35440088, 1850255]	['35440088 - ETH Zurich', '1850255 - University of Basel']	35440088	1850255	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2055319262	School of Pharmaceutical Sciences, University of Geneva, University of Lausanne, Quai Ernest-Ansermet 30, 1211 Geneva, Switzerland	[97565354, 114457229]	['97565354 - University of Lausanne', '114457229 - University of Geneva']	97565354	114457229	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2944299812	School of Pharmaceutical Sciences, University of Geneva, University of Lausanne, CMU, Rue Michel-Servet 1, 1211 Geneva 4, Switzerland	[97565354, 114457229]	['97565354 - University of Lausanne', '114457229 - University of Geneva']	97565354	114457229	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2579270137	School of Pharmaceutical Sciences, University of Geneva, University of Lausanne , CMU - Rue Michel Servet 1, 1211 Geneva 11, Switzerland.	[97565354, 114457229]	['97565354 - University of Lausanne', '114457229 - University of Geneva']	97565354	114457229	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2888881959	School of Pharmaceutical Sciences, Laboratory of Pharmaceutical Technology, University of Geneva, University of Lausanne, Rue Michel-Servet 1, Genève 4, Switzerland	[97565354, 114457229]	['97565354 - University of Lausanne', '114457229 - University of Geneva']	97565354	114457229	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2135817947	Institute of Neuroinformatics, University of Zurich/ETH Zurich, CH-8057 Zurich, Switzerland.	[35440088, 202697423]	['35440088 - ETH Zurich', '12708293 - Swiss Institute of Bioinformatics', '202697423 - University of Zurich']	202697423	35440088	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2156673336	Laboratory of Biosensors and Bioelectronics, Institute for Biomedical Engineering, ETH, Zurich, Switzerland	[35440088, 4210090941]	['35440088 - ETH Zurich', '4210090941 - Institute for Biomedical Engineering']	35440088	4210090941	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2015245563	Brain Research Institute, University of Zurich/Swiss Federal Institute of Technology, Zurich, Switzerland.	[35440088, 202697423]	['5124864 - École Polytechnique Fédérale de Lausanne', '35440088 - ETH Zurich', '202697423 - University of Zurich']	202697423	35440088	No name	No name	No name	No name	cwts_multi_inst_no_relation
W4280651559	Functional Genomics Center Zurich, University of Zurich/ETH Zurich, 8057 Zurich, Switzerland	[35440088, 202697423]	['35440088 - ETH Zurich', '202697423 - University of Zurich']	35440088	202697423	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2054357647	Functional Genomics Center Zurich, UZH/ETH Zurich, Zurich, Switzerland; and	[35440088, 4210100468]	['35440088 - ETH Zurich', '4210100468 - University Hospital of Zurich']	35440088	4210100468	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2888433646	Laboratory of Biosensors and Bioelectronics, Institute of Biomedical Engineering, ETH Zürich, 8092 Zürich, Switzerland	[35440088, 4210090941]	['35440088 - ETH Zurich', '4210090941 - Institute for Biomedical Engineering']	35440088	4210090941	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3090795230	Unit of Medicine and Traffic Psychology, CURML, Lausanne University Hospital, Geneva University Hospitals, Lausanne, Switzerland.	[4210106256, 2802229882, 4210130533]	['4210106256 - University Hospital of Geneva', '2802229882 - University Hospital of Lausanne', '4210130533 - University Centre of Legal Medicine']	2802229882	4210106256	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2106488695	#N#20#N#University Psychiatric Clinics, Center for Gender Research and Early Detection, c/o Universitätsspital Basel, Switzerland;	[2802542264, 4210166749]	['2802542264 - University Hospital of Basel', '4210166749 - Universitäre Psychiatrische Kliniken Basel']	2802542264	4210166749	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3021013603	Medical Research Center The Third People’s Hospital of Chengdu The Affiliated Hospital of Southwest Jiaotong University The Second Chengdu Hospital Affiliated to Chongqing Medical University Chengdu China	[4210093384, 4210133253, 4800084, 87780372]	["4210093384 - Chengdu Third People's Hospital", "4210133253 - Chengdu Second People's Hospital", '4800084 - Southwest Jiaotong University', '87780372 - Chongqing Medical University']	87780372	4800084	4210093384	4210133253	No name	No name	cwts_multi_inst_no_relation
W2900210632	Department of Orthopedics, Guangzhou First People's Hospital, School of Medicine, South China University of Technology, Guangzhou, Guangdong 510180, People's Republic of China.	[90610280, 4210116575]	['90610280 - South China University of Technology', "4210116575 - Guangzhou First People's Hospital"]	90610280	4210116575	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2997065641	Beijing Normal University and Hong Kong Baptist University United International College Zhuhai 519087, China	[12615008, 141568987, 25254941]	['12615008 - United International College', '141568987 - Hong Kong Baptist University', '25254941 - Beijing Normal University']	141568987	25254941	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2171103025	Kwai S. Leung is at the Division of Science and Technology; Beijing Normal University-Hong Kong Baptist University United International College; Zhuhai China	[12615008, 141568987, 25254941]	['12615008 - United International College', '141568987 - Hong Kong Baptist University', '25254941 - Beijing Normal University']	141568987	25254941	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2412056703	Key Laboratory of Chemical Sensing & Analysis in Universities of Shandong, School of Chemistry and Chemical Engineering, University of Jinan, Jinan 250022, P. R. China	[34949971, 154099455]	['34949971 - University of Jinan', '154099455 - Shandong University']	34949971	154099455	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2043885188	Key Laboratory of Chemical Sensing & Analysis in Universities of Shandong, School of Chemistry and Chemical Engineering, University of Jinan, Jinan 250022, P. R. China	[34949971, 154099455]	['34949971 - University of Jinan', '154099455 - Shandong University']	34949971	154099455	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2412056703	Key Laboratory of Chemical Sensing & Analysis in Universities of Shandong, School of Chemistry and Chemical Engineering, University of Jinan, Jinan 250022, P. R. China	[34949971, 154099455]	['34949971 - University of Jinan', '154099455 - Shandong University']	34949971	154099455	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2043885188	Key Laboratory of Chemical Sensing & Analysis in Universities of Shandong, School of Chemistry and Chemical Engineering, University of Jinan, Jinan 250022, P. R. China	[34949971, 154099455]	['34949971 - University of Jinan', '154099455 - Shandong University']	34949971	154099455	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3123320475	Nanoyang Group, State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology, Tianjin University, Tianjin, 300072 China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2765946597	State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical science and Engineering (Tianjin), School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2989691704	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2908112480	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2989691704	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2989691704	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2908112480	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
